homelat,homelon,homecontinent,country,n
34.365395,74.389536,South Asia,India,1
34.365591,64.052576,South Asia,Afghanistan,2
34.366637,69.205701,South Asia,Afghanistan,0
34.366651,69.210946,South Asia,Afghanistan,0
34.366667,43.816667,Middle East & North Africa,Iraq,2
34.366667,68.8,South Asia,Afghanistan,5
34.366804,62.016818,South Asia,Afghanistan,1
34.367146,68.76429,South Asia,Afghanistan,6
34.367244,68.840275,South Asia,Afghanistan,10
34.367332,61.776616,South Asia,Afghanistan,1
34.367604,74.674441,South Asia,India,3
34.367646,69.165974,South Asia,Afghanistan,0
34.367672,69.204312,South Asia,Afghanistan,4
34.367733,41.985275,Middle East & North Africa,Iraq,69
34.368094,73.220787,South Asia,Pakistan,0
34.368333,70.317778,South Asia,Afghanistan,0
34.368788,41.094136,Middle East & North Africa,Iraq,5
34.368794,41.094472,Middle East & North Africa,Iraq,2
34.368889,69.218333,South Asia,Afghanistan,13
34.368932,63.181572,South Asia,Afghanistan,4
34.369167,43.764167,Middle East & North Africa,Iraq,11
34.369505,63.176652,South Asia,Afghanistan,0
34.369575,63.176032,South Asia,Afghanistan,2
34.369722,63.176389,South Asia,Afghanistan,24
34.369833,63.17986,South Asia,Afghanistan,4
34.37005,70.53735,South Asia,Afghanistan,0
34.370216,68.777229,South Asia,Afghanistan,4
34.370794,68.719851,South Asia,Afghanistan,0
34.370814,63.19768,South Asia,Afghanistan,0
34.370913,63.19328,South Asia,Afghanistan,2
34.370913,63.196253,South Asia,Afghanistan,0
34.370913,63.197323,South Asia,Afghanistan,1
34.370945,62.330115,South Asia,Afghanistan,2
34.370951,74.214998,South Asia,India,1
34.371917,71.635014,South Asia,Pakistan,8
34.371984,61.482178,South Asia,Afghanistan,1
34.372099,74.172438,South Asia,India,2
34.372222,41.9875,Middle East & North Africa,Iraq,2
34.372474,63.176251,South Asia,Afghanistan,13
34.372755,70.543212,South Asia,Afghanistan,0
34.373209,41.986585,Middle East & North Africa,Iraq,10
34.373264,43.76318,Middle East & North Africa,Iraq,32
34.374187,63.188698,South Asia,Afghanistan,3
34.374514,62.174873,South Asia,Afghanistan,0
34.374612,74.449661,South Asia,India,0
34.374994,41.054763,Middle East & North Africa,Iraq,1
34.375593,74.298705,South Asia,India,0
34.375911,73.279511,South Asia,Pakistan,0
34.376111,62.243056,South Asia,Afghanistan,0
34.376325,74.307421,South Asia,India,3
34.376365,36.025076,Middle East & North Africa,Lebanon,1
34.376399,71.400043,South Asia,Pakistan,2
34.376953,63.213588,South Asia,Afghanistan,10
34.377922,74.40102,South Asia,India,0
34.377976,44.935498,Middle East & North Africa,Iraq,1
34.378337,72.254631,South Asia,Pakistan,0
34.378387,41.035515,Middle East & North Africa,Iraq,0
34.378471,62.141815,South Asia,Afghanistan,5
34.381339,36.067396,Middle East & North Africa,Lebanon,2
34.381467,61.791014,South Asia,Afghanistan,0
34.381618,62.172167,South Asia,Afghanistan,0
34.382865,36.069574,Middle East & North Africa,Lebanon,0
34.383712,72.331195,South Asia,Pakistan,0
34.383795,71.806589,South Asia,Pakistan,2
34.383889,70.243611,South Asia,Afghanistan,0
34.384521,37.993464,Middle East & North Africa,Syria,21
34.384699,71.920957,South Asia,Pakistan,0
34.385197,70.243914,South Asia,Afghanistan,1
34.385815,67.022095,South Asia,Afghanistan,0
34.386194,35.782764,Middle East & North Africa,Lebanon,0
34.386229,63.176853,South Asia,Afghanistan,9
34.387235,41.047971,Middle East & North Africa,Iraq,3
34.387259,72.071671,South Asia,Pakistan,0
34.387384,7.943786,Middle East & North Africa,Tunisia,7
34.387782,67.021373,South Asia,Afghanistan,0
34.389417,70.244482,South Asia,Afghanistan,1
34.389693,72.618375,South Asia,Pakistan,0
34.390278,71.334722,South Asia,Pakistan,0
34.390975,71.897185,South Asia,Pakistan,1
34.391254,71.980888,South Asia,Pakistan,0
34.391319,68.840244,South Asia,Afghanistan,1
34.392367,69.210289,South Asia,Afghanistan,2
34.392696,45.003497,Middle East & North Africa,Iraq,3
34.392989,44.974233,Middle East & North Africa,Iraq,0
34.393184,69.078107,South Asia,Afghanistan,0
34.393312,72.616653,South Asia,Pakistan,3
34.394057,41.079448,Middle East & North Africa,Iraq,0
34.394204,71.906943,South Asia,Pakistan,0
34.394322,72.615117,South Asia,Pakistan,15
34.394484,72.619977,South Asia,Pakistan,1
34.395153,36.387466,Middle East & North Africa,Lebanon,0
34.395183,62.371474,South Asia,Afghanistan,4
34.395556,68.866111,South Asia,Afghanistan,0
34.395677,74.25388,South Asia,India,0
34.396252,64.51688,South Asia,Afghanistan,1
34.396312,35.89583,Middle East & North Africa,Lebanon,0
34.396358,35.895833,Middle East & North Africa,Lebanon,1
34.396358,36.38662,Middle East & North Africa,Lebanon,4
34.396497,72.615832,South Asia,Pakistan,20
34.396797,68.863945,South Asia,Afghanistan,12
34.396936,36.387763,Middle East & North Africa,Lebanon,0
34.397052,36.387171,Middle East & North Africa,Lebanon,14
